Date;Speed;Density;Bt;Bz
20070101000000;325.4;3.6;2.9;0.6
20070101000100;328.4;3.0;2.8;0.8
20070101000200;319.2;4.0;3.1;0.3
20070101000300;324.4;3.7;3.6;0.4
20070101000400;319.8;3.1;3.5;0.3
20070101000500;327.1;3.3;3.7;0.3
20070101000600;325.3;3.5;3.7;0.4
20070101000700;324.0;4.1;3.6;0.5
20070101000800;324.7;2.9;3.4;-0.2
20070101000900;324.6;4.0;3.2;0.2
20070101001000;325.5;3.6;3.5;0.2
20070101001100;330.6;2.6;4.0;-0.1
20070101001200;328.0;3.0;4.0;0.2
20070101001300;;;3.9;0.1
20070101001400;;;3.9;-0.1
20070101001500;330.8;2.5;3.9;-0.2
20070101001600;;;-999.9;-999.9
20070101001700;;;-999.9;-999.9
20070101001800;;;-999.9;-999.9
20070101001900;;;-999.9;-999.9
20070101002000;;;-999.9;-999.9
20070101002100;;;-999.9;-999.9
20070101002200;;;-999.9;-999.9
20070101002300;;;-999.9;-999.9
20070101002400;;;4.5;0.2
20070101002500;325.5;3.5;4.4;0.2
20070101002600;326.3;2.3;4.4;0.1
20070101002700;326.9;3.0;4.2;-0.3
20070101002800;325.8;2.6;4.3;0.0
20070101002900;325.2;3.2;4.4;0.2
20070101003000;325.2;3.2;4.4;0.2
20070101003100;324.5;2.2;4.6;0.3
20070101003200;327.0;2.2;4.2;0.0
20070101003300;331.0;2.9;3.8;-0.1
20070101003400;327.9;3.3;3.8;-0.2
20070101003500;327.5;2.8;4.0;-0.7
20070101003600;321.0;3.7;4.1;-0.8
20070101003700;324.1;3.0;3.7;-0.0
20070101003800;335.8;2.2;3.4;2.5
20070101003900;324.6;5.2;3.3;2.7
20070101004000;329.1;4.4;3.1;2.2
20070101004100;329.1;4.8;2.8;1.6
20070101004200;331.5;2.8;3.2;1.3
20070101004300;332.0;2.1;4.0;2.5
20070101004400;329.1;3.5;4.0;2.1
20070101004500;328.5;3.6;4.2;1.6
20070101004600;328.5;3.6;4.2;2.1
20070101004700;;;4.2;2.0
